comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;2.0TD;DIAMANTE;CONS. 0 - 5.000 KW;;;143,00 €;121,55 €;114,40 €;102,96 €;11,44 €;91,52 €;22,88 €;57,20 €;57,20 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 5.000 - 10.000 KW;;;324,00 €;275,40 €;259,20 €;233,28 €;25,92 €;207,36 €;51,84 €;129,60 €;129,60 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 10.000 - 20.000 KW;;;485,00 €;412,25 €;388,00 €;349,20 €;38,80 €;310,40 €;77,60 €;194,00 €;194,00 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 20.000 - 30.000 KW;;;786,00 €;668,10 €;628,80 €;565,92 €;62,88 €;503,04 €;125,76 €;314,40 €;314,40 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 30.000 - 40.000 KW;;;862,00 €;732,70 €;689,60 €;620,64 €;68,96 €;551,68 €;137,92 €;344,80 €;344,80 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 40.000 - 50.000 KW;;;1.106,00 €;940,10 €;884,80 €;796,32 €;88,48 €;707,84 €;176,96 €;442,40 €;442,40 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 50.000 - 70.000 KW;;;1.636,00 €;1.390,60 €;1.308,80 €;1.177,92 €;130,88 €;1.047,04 €;261,76 €;654,40 €;654,40 €
ALUMBRA;2.0TD;DIAMANTE;CONS. 70.000 - 100.000 KW;;;199,00 €;169,15 €;159,20 €;143,28 €;15,92 €;127,36 €;31,84 €;79,60 €;79,60 €
ALUMBRA;2.0TD;DIAMANTE;CONS. > 100.000 KW;;;2.299,00 €;1.954,15 €;1.839,20 €;1.655,28 €;183,92 €;1.471,36 €;367,84 €;919,60 €;919,60 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 0 - 5.000 KW;;;416,00 €;353,60 €;332,80 €;299,52 €;33,28 €;266,24 €;66,56 €;166,40 €;166,40 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 5.000 - 10.000 KW;;;509,00 €;432,65 €;407,20 €;366,48 €;40,72 €;325,76 €;81,44 €;203,60 €;203,60 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 10.000 - 20.000 KW;;;878,00 €;746,30 €;702,40 €;632,16 €;70,24 €;561,92 €;140,48 €;351,20 €;351,20 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 20.000 - 30.000 KW;;;1.114,00 €;946,90 €;891,20 €;802,08 €;89,12 €;712,96 €;178,24 €;445,60 €;445,60 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 30.000 - 40.000 KW;;;1.387,00 €;1.178,95 €;1.109,60 €;998,64 €;110,96 €;887,68 €;221,92 €;554,80 €;554,80 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 40.000 - 50.000 KW;;;1.664,00 €;1.414,40 €;1.331,20 €;1.198,08 €;133,12 €;1.064,96 €;266,24 €;665,60 €;665,60 €
ALUMBRA;3.0TD;DIAMANTE;CONS. 50.000 - 70.000 KW;;;2.543,00 €;2.161,55 €;2.034,40 €;1.830,96 €;203,44 €;1.627,52 €;406,88 €;1.017,20 €;1.017,20 €
