comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. 0 - 5.000 kW;;;44,46 €;40,01 €;35,57 €;32,01 €;3,56 €;28,45 €;7,11 €;17,78 €;17,78 €
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. 5.000 - 10.000 kW;;;54,60 €;49,14 €;43,68 €;39,31 €;4,37 €;34,94 €;8,74 €;21,84 €;21,84 €
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. 10.000 - 30.000 kW;;;70,20 €;63,18 €;56,16 €;50,54 €;5,62 €;44,93 €;11,23 €;28,08 €;28,08 €
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. 30.000 - 50.000 kW;;;109,20 €;98,28 €;87,36 €;78,62 €;8,74 €;69,89 €;17,47 €;43,68 €;43,68 €
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. 50.000 - 100.000 kW;;;148,20 €;133,38 €;118,56 €;106,70 €;11,86 €;94,85 €;23,71 €;59,28 €;59,28 €
ENDESA_PYME;2.0TD;2.0TD POT. 0-10 KW;Cons. >100.000 kW;;;187,20 €;168,48 €;149,76 €;134,78 €;14,98 €;119,81 €;29,95 €;74,88 €;74,88 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. 0 - 10.000 kW;;;144,30 €;129,87 €;115,44 €;103,90 €;11,54 €;92,35 €;23,09 €;57,72 €;57,72 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. 10.000 - 20.000 kW;;;198,90 €;179,01 €;159,12 €;143,21 €;15,91 €;127,30 €;31,82 €;79,56 €;79,56 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. 20.000 - 30.000 kW;;;237,90 €;214,11 €;190,32 €;171,29 €;19,03 €;152,26 €;38,06 €;95,16 €;95,16 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. 30.000 - 50.000 kW;;;312,00 €;280,80 €;249,60 €;224,64 €;24,96 €;199,68 €;49,92 €;124,80 €;124,80 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. 50.000 - 100.000 kW;;;429,00 €;386,10 €;343,20 €;308,88 €;34,32 €;274,56 €;68,64 €;171,60 €;171,60 €
ENDESA_PYME;2.0TD;2.0TD POT. 10-15 KW;Cons. >100.000 kW;;;468,00 €;421,20 €;374,40 €;336,96 €;37,44 €;299,52 €;74,88 €;187,20 €;187,20 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 0 - 30.000 kW;;;265,20 €;238,68 €;212,16 €;190,94 €;21,22 €;169,73 €;42,43 €;106,08 €;106,08 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 30.000 - 50.000 kW;;;304,20 €;273,78 €;243,36 €;219,02 €;24,34 €;194,69 €;48,67 €;121,68 €;121,68 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 50.000 - 100.000 kW;;;514,80 €;463,32 €;411,84 €;370,66 €;41,18 €;329,47 €;82,37 €;205,92 €;205,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 100.000 - 150.000 kW;;;612,30 €;551,07 €;489,84 €;440,86 €;48,98 €;391,87 €;97,97 €;244,92 €;244,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 150.000 - 200.000 kW;;;647,40 €;582,66 €;517,92 €;466,13 €;51,79 €;414,34 €;103,58 €;258,96 €;258,96 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. 200.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 15-30 KW;Cons. >250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 0 - 30.000 kW;;;323,70 €;291,33 €;258,96 €;233,06 €;25,90 €;207,17 €;51,79 €;129,48 €;129,48 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 30.000 - 50.000 kW;;;393,90 €;354,51 €;315,12 €;283,61 €;31,51 €;252,10 €;63,02 €;157,56 €;157,56 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 50.000 - 100.000 kW;;;514,80 €;463,32 €;411,84 €;370,66 €;41,18 €;329,47 €;82,37 €;205,92 €;205,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 100.000 - 150.000 kW;;;612,30 €;551,07 €;489,84 €;440,86 €;48,98 €;391,87 €;97,97 €;244,92 €;244,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 150.000 - 200.000 kW;;;647,40 €;582,66 €;517,92 €;466,13 €;51,79 €;414,34 €;103,58 €;258,96 €;258,96 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. 200.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 30-50 KW;Cons. > 250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 0 - 30.000 kW;;;436,80 €;393,12 €;349,44 €;314,50 €;34,94 €;279,55 €;69,89 €;174,72 €;174,72 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 30.000 - 50.000 kW;;;475,80 €;428,22 €;380,64 €;342,58 €;38,06 €;304,51 €;76,13 €;190,32 €;190,32 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 50.000 - 100.000 kW;;;514,80 €;463,32 €;411,84 €;370,66 €;41,18 €;329,47 €;82,37 €;205,92 €;205,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 100.000 - 150.000 kW;;;612,30 €;551,07 €;489,84 €;440,86 €;48,98 €;391,87 €;97,97 €;244,92 €;244,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 150.000 - 200.000 kW;;;647,40 €;582,66 €;517,92 €;466,13 €;51,79 €;414,34 €;103,58 €;258,96 €;258,96 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. 200.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 50-75 KW;Cons. > 250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 0 - 30.000 kW;;;495,30 €;445,77 €;396,24 €;356,62 €;39,62 €;316,99 €;79,25 €;198,12 €;198,12 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 30.000 - 50.000 kW;;;534,30 €;480,87 €;427,44 €;384,70 €;42,74 €;341,95 €;85,49 €;213,72 €;213,72 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 50.000 - 100.000 kW;;;573,30 €;515,97 €;458,64 €;412,78 €;45,86 €;366,91 €;91,73 €;229,32 €;229,32 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 100.000 - 150.000 kW;;;612,30 €;551,07 €;489,84 €;440,86 €;48,98 €;391,87 €;97,97 €;244,92 €;244,92 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 150.000 - 200.000 kW;;;647,40 €;582,66 €;517,92 €;466,13 €;51,79 €;414,34 €;103,58 €;258,96 €;258,96 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. 200.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 75-100 KW;Cons. > 250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. 0 - 30.000 kW;;;530,40 €;477,36 €;424,32 €;381,89 €;42,43 €;339,46 €;84,86 €;212,16 €;212,16 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. 30.000 - 50.000 kW;;;569,40 €;512,46 €;455,52 €;409,97 €;45,55 €;364,42 €;91,10 €;227,76 €;227,76 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. 50.000 - 100.000 kW;;;608,40 €;547,56 €;486,72 €;438,05 €;48,67 €;389,38 €;97,34 €;243,36 €;243,36 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. 100.000 - 200.000 kW;;;647,40 €;582,66 €;517,92 €;466,13 €;51,79 €;414,34 €;103,58 €;258,96 €;258,96 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. 200.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 100-150 KW;Cons. > 250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. 150-200 KW;Cons. 0 - 30.000 kW;;;557,70 €;501,93 €;446,16 €;401,54 €;44,62 €;356,93 €;89,23 €;223,08 €;223,08 €
ENDESA_PYME;3.0TD;3.0TD POT. 150-200 KW;Cons. 30.000 - 50.000 kW;;;596,70 €;537,03 €;477,36 €;429,62 €;47,74 €;381,89 €;95,47 €;238,68 €;238,68 €
ENDESA_PYME;3.0TD;3.0TD POT. 150-200 KW;Cons. 50.000 - 100.000 kW;;;635,70 €;572,13 €;508,56 €;457,70 €;50,86 €;406,85 €;101,71 €;254,28 €;254,28 €
ENDESA_PYME;3.0TD;3.0TD POT. 150-200 KW;Cons. 100.000 - 250.000 kW;;;674,70 €;607,23 €;539,76 €;485,78 €;53,98 €;431,81 €;107,95 €;269,88 €;269,88 €
ENDESA_PYME;3.0TD;3.0TD POT. 150-200 KW;Cons. > 250.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;3.0TD;3.0TD POT. >200 KW;Cons. 0 - 30.000 kW;;;702,00 €;631,80 €;561,60 €;505,44 €;56,16 €;449,28 €;112,32 €;280,80 €;280,80 €
ENDESA_PYME;3.0TD;3.0TD POT. >200 KW;Cons. 30.000 - 50.000 kW;;;741,00 €;666,90 €;592,80 €;533,52 €;59,28 €;474,24 €;118,56 €;296,40 €;296,40 €
ENDESA_PYME;3.0TD;3.0TD POT. >200 KW;Cons. 50.000 - 100.000 kW;;;780,00 €;702,00 €;624,00 €;561,60 €;62,40 €;499,20 €;124,80 €;312,00 €;312,00 €
ENDESA_PYME;3.0TD;3.0TD POT. >200 KW;Cons. >100.000 kW;;;819,00 €;737,10 €;655,20 €;589,68 €;65,52 €;524,16 €;131,04 €;327,60 €;327,60 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 0 - 30.000 kW;;;100,00 €;90,00 €;80,00 €;72,00 €;8,00 €;64,00 €;16,00 €;40,00 €;40,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 30.000 - 50.000 kW;;;113,75 €;102,38 €;91,00 €;81,90 €;9,10 €;72,80 €;18,20 €;45,50 €;45,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 50.000 - 100.000 kW;;;429,00 €;386,10 €;343,20 €;308,88 €;34,32 €;274,56 €;68,64 €;171,60 €;171,60 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 100.000 - 150.000 kW;;;503,75 €;453,38 €;403,00 €;362,70 €;40,30 €;322,40 €;80,60 €;201,50 €;201,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 150.000 - 200.000 kW;;;520,00 €;468,00 €;416,00 €;374,40 €;41,60 €;332,80 €;83,20 €;208,00 €;208,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. 200.000 - 250.000 kW;;;546,00 €;491,40 €;436,80 €;393,12 €;43,68 €;349,44 €;87,36 €;218,40 €;218,40 €
ENDESA_PYME;6.1TD;6.1TD POT. 0-50 KW;Cons. > 250.000 kW;;;633,75 €;570,38 €;507,00 €;456,30 €;50,70 €;405,60 €;101,40 €;253,50 €;253,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 0 - 30.000 kW;;;325,00 €;292,50 €;260,00 €;234,00 €;26,00 €;208,00 €;52,00 €;130,00 €;130,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 30.000 - 50.000 kW;;;357,50 €;321,75 €;286,00 €;257,40 €;28,60 €;228,80 €;57,20 €;143,00 €;143,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 50.000 - 100.000 kW;;;429,00 €;386,10 €;343,20 €;308,88 €;34,32 €;274,56 €;68,64 €;171,60 €;171,60 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 100.000 - 150.000 kW;;;503,75 €;453,38 €;403,00 €;362,70 €;40,30 €;322,40 €;80,60 €;201,50 €;201,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 150.000 - 200.000 kW;;;520,00 €;468,00 €;416,00 €;374,40 €;41,60 €;332,80 €;83,20 €;208,00 €;208,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. 200.000 - 250.000 kW;;;546,00 €;491,40 €;436,80 €;393,12 €;43,68 €;349,44 €;87,36 €;218,40 €;218,40 €
ENDESA_PYME;6.1TD;6.1TD POT. 50-75 KW;Cons. > 250.000 kW;;;633,75 €;570,38 €;507,00 €;456,30 €;50,70 €;405,60 €;101,40 €;253,50 €;253,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 0 - 30.000 kW;;;406,25 €;365,63 €;325,00 €;292,50 €;32,50 €;260,00 €;65,00 €;162,50 €;162,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 30.000 - 50.000 kW;;;438,75 €;394,88 €;351,00 €;315,90 €;35,10 €;280,80 €;70,20 €;175,50 €;175,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 50.000 - 100.000 kW;;;471,25 €;424,13 €;377,00 €;339,30 €;37,70 €;301,60 €;75,40 €;188,50 €;188,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 100.000 - 150.000 kW;;;503,75 €;453,38 €;403,00 €;362,70 €;40,30 €;322,40 €;80,60 €;201,50 €;201,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 150.000 - 200.000 kW;;;520,00 €;468,00 €;416,00 €;374,40 €;41,60 €;332,80 €;83,20 €;208,00 €;208,00 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. 200.000 - 250.000 kW;;;546,00 €;491,40 €;436,80 €;393,12 €;43,68 €;349,44 €;87,36 €;218,40 €;218,40 €
ENDESA_PYME;6.1TD;6.1TD POT. 75-100 KW;Cons. > 250.000 kW;;;633,75 €;570,38 €;507,00 €;456,30 €;50,70 €;405,60 €;101,40 €;253,50 €;253,50 €
ENDESA_PYME;6.1TD;6.1TD POT. 100-150 KW;Cons. 0 - 30.000 kW;;;422,50 €;380,25 €;338,00 €;304,20 €;33,80 €;270,40 €;67,60 €;169,00 €;169,00 €
