comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ENDESA HOGAR;2.0TD;TU CASA 50 SIN PERMANENCIA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;TU CASA 50 CON PERMANENCIA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;LIBRE PREMIUM;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;LIBRE CON PERMANENCIA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;LIBRE SIN PERMANENCIA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;3 PERIODOS;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;TEMPO HAPPY;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;SOLAR PLUS;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;SOLAR PLUS CON BATERIA VIRTUAL;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;OPEN PLANA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;OPEN DIA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;OPEN LABORAL;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;OPEN FIN DE SEMANA;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;OPEN NOCHE;POT. 0-10 kW;;;130,00 €;108,00 €;105,00 €;94,50 €;10,50 €;84,00 €;21,00 €;52,50 €;52,50 €
ENDESA HOGAR;2.0TD;TU CASA 50 SIN PERMANENCIA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;TU CASA 50 CON PERMANENCIA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;LIBRE PREMIUM;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;LIBRE CON PERMANENCIA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;LIBRE SIN PERMANENCIA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;3 PERIODOS;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;TEMPO HAPPY;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;SOLAR PLUS;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;SOLAR PLUS CON BATERIA VIRTUAL;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;OPEN PLANA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;OPEN DIA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;OPEN LABORAL;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;OPEN FIN DE SEMANA;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;2.0TD;OPEN NOCHE;POT. 10-15 kW;;;220,00 €;198,00 €;170,00 €;153,00 €;17,00 €;136,00 €;34,00 €;85,00 €;85,00 €
ENDESA HOGAR;RL.1;GAS RL.1;;;;85,00 €;63,00 €;65,00 €;58,50 €;6,50 €;52,00 €;13,00 €;32,50 €;32,50 €
ENDESA HOGAR;RL.2;GAS RL.2;;;;85,00 €;63,00 €;65,00 €;58,50 €;6,50 €;52,00 €;13,00 €;32,50 €;32,50 €
