comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
GALP;2.0TD;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;3.0TD;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;6.XTD;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;2.0TD;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;3.0TD;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;6.XTD;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.1;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.2;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.3;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.4;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.5;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.6;FIJO;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.1;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.2;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.3;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.4;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.5;INDEX;;;((CONSUMO/1000)*FEE);;85%;80%;72%;8%;64%;16%;40%;40%
GALP;RL.6;INDEX;;;;;85%;;72%;8%;64%;16%;40%;40%
