comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
NATURGY_PYME;LUZ;PLAN FIJO LUZ ONE ;CONS. <10.000 KW;;;51,00 €;43 €;38,40 €;34,56 €;3,84 €;30,72 €;7,68 €;19,20 €;19,20 €
NATURGY_PYME;LUZ;PLAN FIJO LUZ  ;CONS. <10.000 KW;;;63,75 €;54 €;48,00 €;43,20 €;4,80 €;38,40 €;9,60 €;24,00 €;24,00 €
NATURGY_PYME;LUZ;PLAN FIJO LUZ SUPRA  ;CONS. <10.000 KW;;;72,25 €;61 €;54,40 €;48,96 €;5,44 €;43,52 €;10,88 €;27,20 €;27,20 €
NATURGY_PYME;LUZ;PLAN FIJO LUZ ONE  ;CONS. >=10.000 KW;;((CONSUMO/1000)*5,1);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;LUZ;PLAN FIJO LUZ  ;CONS. >=10.000 KW;;((CONSUMO/1000)*11,9);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;LUZ;PLAN FIJO LUZ SUPRA  ;CONS. >=10.000 KW;;((CONSUMO/1000)*21,25);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ ONE ;CONS. <10.000 KW;;;51,00 €;43 €;38,40 €;34,56 €;3,84 €;30,72 €;7,68 €;19,20 €;19,20 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ  ;CONS. <10.000 KW;;;63,75 €;54 €;48,00 €;43,20 €;4,80 €;38,40 €;9,60 €;24,00 €;24,00 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ SUPRA  ;CONS. <10.000 KW;;;72,25 €;61 €;54,40 €;48,96 €;5,44 €;43,52 €;10,88 €;27,20 €;27,20 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ ONE  ;CONS. >=10.000 KW;;((CONSUMO/1000)*5,1);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ  ;CONS. >=10.000 KW;;((CONSUMO/1000)*11,9);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;LUZ;PLAN VARIABLE LUZ SUPRA  ;CONS. >=10.000 KW;;((CONSUMO/1000)*21,25);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN COMPROMISO GAS ONE ;CONS. <15.000 KW;;;12,75 €;11 €;8,40 €;7,56 €;0,84 €;6,72 €;1,68 €;4,20 €;4,20 €
NATURGY_PYME;GAS;PLAN COMPROMISIO GAS;CONS. <15.000 KW;;;12,75 €;11 €;8,40 €;7,56 €;0,84 €;6,72 €;1,68 €;4,20 €;4,20 €
NATURGY_PYME;GAS;PLAN COMPROMISO GAS SUPRA;CONS. <15.000 KW;;;25,50 €;22 €;16,80 €;15,12 €;1,68 €;13,44 €;3,36 €;8,40 €;8,40 €
NATURGY_PYME;GAS;PLAN COMPROMISO GAS ONE ;CONS. >=15.000 KW;;((CONSUMO/1000)*4,25);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN COMPROMISIO GAS;CONS. >=15.000 KW;;((CONSUMO/1000)*5,95);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN COMPROMISO GAS SUPRA;CONS. >=15.000 KW;;((CONSUMO/1000)*7,65);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS ONE;CONS. <15.000 KW;;;29,75 €;25 €;19,60 €;17,64 €;1,96 €;15,68 €;3,92 €;9,80 €;9,80 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS ;CONS. <15.000 KW;;;34,00 €;29 €;22,40 €;20,16 €;2,24 €;17,92 €;4,48 €;11,20 €;11,20 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS SUPRA;CONS. <15.000 KW;;;38,25 €;33 €;25,20 €;22,68 €;2,52 €;20,16 €;5,04 €;12,60 €;12,60 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS ONE;CONS. >=15.000 KW;;((CONSUMO/1000)*2,55);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS ;CONS. >=15.000 KW;;((CONSUMO/1000)*4,25);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;GAS;PLAN VARIABLE GAS SUPRA;CONS. >=15.000 KW;;((CONSUMO/1000)*5,95);;85%;80%;0,72 €;0,08 €;0,64 €;0,16 €;0,40 €;0,40 €
NATURGY_PYME;;;;SVG GC COMPLET;;46,75 €;40 €;30,80 €;27,72 €;3,08 €;24,64 €;6,16 €;15,40 €;15,40 €
NATURGY_PYME;;;;SVE GC XPRESS;;38,25 €;33 €;25,20 €;22,68 €;2,52 €;20,16 €;5,04 €;12,60 €;12,60 €
NATURGY_PYME;;;;TRIHORARIO;;;;;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €
