comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
PLENITUDE;2.0TD;WEB FACIL LUZ ≤5KW;;;;25,00 €;20,00 €;20,00 €;18,00 €;2,00 €;16,00 €;4,00 €;10,00 €;10,00 €
PLENITUDE;2.0TD;WEB FACIL LUZ ≤5KW TU SERVICIO;;;;40,00 €;34,00 €;32,00 €;28,80 €;3,20 €;25,60 €;6,40 €;16,00 €;16,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 0 - 5.000 kW;;;120,00 €;102,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 5.000 - 10.000 kW;;;150,00 €;127,50 €;120,00 €;108,00 €;12,00 €;96,00 €;24,00 €;60,00 €;60,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 10.000 - 20.000 kW;;;220,00 €;187,00 €;176,00 €;158,40 €;17,60 €;140,80 €;35,20 €;88,00 €;88,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 20.000 - 30.000 kW;;;320,00 €;272,00 €;256,00 €;230,40 €;25,60 €;204,80 €;51,20 €;128,00 €;128,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 30.000 - 40.000 kW;;;400,00 €;340,00 €;320,00 €;288,00 €;32,00 €;256,00 €;64,00 €;160,00 €;160,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 40.000 - 50.000 kW;;;500,00 €;425,00 €;400,00 €;360,00 €;40,00 €;320,00 €;80,00 €;200,00 €;200,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 50.000 - 70.000 kW;;;600,00 €;510,00 €;480,00 €;432,00 €;48,00 €;384,00 €;96,00 €;240,00 €;240,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. 70.000 - 100.000 kW;;;700,00 €;595,00 €;560,00 €;504,00 €;56,00 €;448,00 €;112,00 €;280,00 €;280,00 €
PLENITUDE;2.0TD;FACIL POWER+ GREEN;Cons. >100.000 kW;;;800,00 €;680,00 €;640,00 €;576,00 €;64,00 €;512,00 €;128,00 €;320,00 €;320,00 €
