comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;2.0TD;CLASICA BASE;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;2.0TD;CLASICA BASE SNP CANARIAS;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;2.0TD;CLASICA BASE SNP BALEARES;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;3.0TD;CLASICA BASE;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;3.0TD;CLASICA BASE SNP CANARIAS;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;3.0TD;CLASICA BASE SNP BALEARES;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;6.1TD;CLASICA BASE;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;6.1TD;CLASICA BASE TEMPO;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;6.1TD;CLASICA BASE TEMPO PIANO;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;6.1TD;CLASICA BASE SNP CANARIAS;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;6.1TD;CLASICA BASE SNP BALEARES;;;((CONSUMO/1000)*FEE*0,6);;85,00%;80,00%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 0 - 1.500 KW;;;30,00 €;25,50 €;24,00 €;21,60 €;2,40 €;19,20 €;4,80 €;12,00 €;12,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 1.501 - 3.000 KW;;;52,00 €;44,20 €;41,60 €;37,44 €;4,16 €;33,28 €;8,32 €;20,80 €;20,80 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 3.001 - 5.000 KW;;;75,00 €;63,75 €;60,00 €;54,00 €;6,00 €;48,00 €;12,00 €;30,00 €;30,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 5.001 - 10.000 KW;;;105,00 €;89,25 €;84,00 €;75,60 €;8,40 €;67,20 €;16,80 €;42,00 €;42,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 10.001 - 20.000 KW;;;185,00 €;157,25 €;148,00 €;133,20 €;14,80 €;118,40 €;29,60 €;74,00 €;74,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 20.001 - 35.000 KW;;;225,00 €;191,25 €;180,00 €;162,00 €;18,00 €;144,00 €;36,00 €;90,00 €;90,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 35.001 - 50.000 KW;;;300,00 €;255,00 €;240,00 €;216,00 €;24,00 €;192,00 €;48,00 €;120,00 €;120,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 50.001 - 65.000 KW;;;415,00 €;352,75 €;332,00 €;298,80 €;33,20 €;265,60 €;66,40 €;166,00 €;166,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 65.001 - 85.000 KW;;;485,00 €;412,25 €;388,00 €;349,20 €;38,80 €;310,40 €;77,60 €;194,00 €;194,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE1;CONS. 85.001 - 100.000 KW;;;575,00 €;488,75 €;460,00 €;414,00 €;46,00 €;368,00 €;92,00 €;230,00 €;230,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 0 - 1.500 KW;;;80,00 €;68,00 €;64,00 €;57,60 €;6,40 €;51,20 €;12,80 €;32,00 €;32,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 1.501 - 3.000 KW;;;100,00 €;85,00 €;80,00 €;72,00 €;8,00 €;64,00 €;16,00 €;40,00 €;40,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 3.001 - 5.000 KW;;;115,00 €;97,75 €;92,00 €;82,80 €;9,20 €;73,60 €;18,40 €;46,00 €;46,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 5.001 - 10.000 KW;;;151,00 €;128,35 €;120,80 €;108,72 €;12,08 €;96,64 €;24,16 €;60,40 €;60,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 10.001 - 20.000 KW;;;190,00 €;161,50 €;152,00 €;136,80 €;15,20 €;121,60 €;30,40 €;76,00 €;76,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 20.001 - 30.000 KW;;;275,00 €;233,75 €;220,00 €;198,00 €;22,00 €;176,00 €;44,00 €;110,00 €;110,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 30.001 - 40.000 KW;;;334,00 €;283,90 €;267,20 €;240,48 €;26,72 €;213,76 €;53,44 €;133,60 €;133,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 40.001 - 50.000 KW;;;395,00 €;335,75 €;316,00 €;284,40 €;31,60 €;252,80 €;63,20 €;158,00 €;158,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE1;CONS. 50.001 - 75.000 KW;;;560,00 €;476,00 €;448,00 €;403,20 €;44,80 €;358,40 €;89,60 €;224,00 €;224,00 €
