comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 0 - 2.500 kW;;;6,00 €;5,10 €;4,80 €;4,32 €;0,48 €;3,84 €;0,96 €;2,40 €;2,40 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 2.500 - 5.000 kW;;;19,00 €;16,15 €;15,20 €;13,68 €;1,52 €;12,16 €;3,04 €;7,60 €;7,60 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 5.000 - 7.500 kW;;;33,00 €;28,05 €;26,40 €;23,76 €;2,64 €;21,12 €;5,28 €;13,20 €;13,20 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 7.500 - 10.000 kW;;;53,00 €;45,05 €;42,40 €;38,16 €;4,24 €;33,92 €;8,48 €;21,20 €;21,20 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 10.000 - 15.000 kW;;;75,00 €;63,75 €;60,00 €;54,00 €;6,00 €;48,00 €;12,00 €;30,00 €;30,00 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 15.000 - 20.000 kW;;;100,00 €;85,00 €;80,00 €;72,00 €;8,00 €;64,00 €;16,00 €;40,00 €;40,00 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 20.000 - 25.000 kW;;;128,00 €;108,80 €;102,40 €;92,16 €;10,24 €;81,92 €;20,48 €;51,20 €;51,20 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 25.000 - 30.000 kW;;;148,00 €;125,80 €;118,40 €;106,56 €;11,84 €;94,72 €;23,68 €;59,20 €;59,20 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 30.000 - 40.000 kW;;;185,00 €;157,25 €;148,00 €;133,20 €;14,80 €;118,40 €;29,60 €;74,00 €;74,00 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 40.000 - 50.000 kW;;;224,00 €;190,40 €;179,20 €;161,28 €;17,92 €;143,36 €;35,84 €;89,60 €;89,60 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 50.000 - 70.000 kW;;;277,00 €;235,45 €;221,60 €;199,44 €;22,16 €;177,28 €;44,32 €;110,80 €;110,80 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 70.000 - 90.000 kW;;;329,00 €;279,65 €;263,20 €;236,88 €;26,32 €;210,56 €;52,64 €;131,60 €;131,60 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 90.000 - 110.000 kW;;;354,00 €;300,90 €;283,20 €;254,88 €;28,32 €;226,56 €;56,64 €;141,60 €;141,60 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. 110.000 - 130.000 kW;;;406,00 €;345,10 €;324,80 €;292,32 €;32,48 €;259,84 €;64,96 €;162,40 €;162,40 €
UNIELECTRICA;2.0TD;FIJA ECO;Cons. > 130.000 kW;;;437,00 €;371,45 €;349,60 €;314,64 €;34,96 €;279,68 €;69,92 €;174,80 €;174,80 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 0 - 5.000 kW;;;11,00 €;9,35 €;8,80 €;7,92 €;0,88 €;7,04 €;1,76 €;4,40 €;4,40 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 5.000 - 10.000 kW;;;30,00 €;25,50 €;24,00 €;21,60 €;2,40 €;19,20 €;4,80 €;12,00 €;12,00 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 10.000 - 20.000 kW;;;61,00 €;51,85 €;48,80 €;43,92 €;4,88 €;39,04 €;9,76 €;24,40 €;24,40 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 20.000 - 35.000 kW;;;125,00 €;106,25 €;100,00 €;90,00 €;10,00 €;80,00 €;20,00 €;50,00 €;50,00 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 35.000 - 50.000 kW;;;194,00 €;164,90 €;155,20 €;139,68 €;15,52 €;124,16 €;31,04 €;77,60 €;77,60 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 50.000 - 75.000 kW;;;263,00 €;223,55 €;210,40 €;189,36 €;21,04 €;168,32 €;42,08 €;105,20 €;105,20 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 75.000 - 100.000 kW;;;374,00 €;317,90 €;299,20 €;269,28 €;29,92 €;239,36 €;59,84 €;149,60 €;149,60 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 100.000 - 150.000 kW;;;488,00 €;414,80 €;390,40 €;351,36 €;39,04 €;312,32 €;78,08 €;195,20 €;195,20 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 150.000 - 200.000 kW;;;696,00 €;591,60 €;556,80 €;501,12 €;55,68 €;445,44 €;111,36 €;278,40 €;278,40 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 200.000 - 300.000 kW;;;920,00 €;782,00 €;736,00 €;662,40 €;73,60 €;588,80 €;147,20 €;368,00 €;368,00 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 300.000 - 350.000 kW;;;1.166,00 €;991,10 €;932,80 €;839,52 €;93,28 €;746,24 €;186,56 €;466,40 €;466,40 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 350.000 - 500.000 kW;;;1.294,00 €;1.099,90 €;1.035,20 €;931,68 €;103,52 €;828,16 €;207,04 €;517,60 €;517,60 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 500.000 - 750.000 kW;;;1.621,00 €;1.377,85 €;1.296,80 €;1.167,12 €;129,68 €;1.037,44 €;259,36 €;648,40 €;648,40 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. 750.000 - 1.250.000 kW;;;2.150,00 €;1.827,50 €;1.720,00 €;1.548,00 €;172,00 €;1.376,00 €;344,00 €;860,00 €;860,00 €
UNIELECTRICA;3.0TD;FIJA ECO;Cons. > 1.250.000 kW;;;3.780,00 €;3.213,00 €;3.024,00 €;2.721,60 €;302,40 €;2.419,20 €;604,80 €;1.512,00 €;1.512,00 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 0 - 5.000 kW;;;10,00 €;8,50 €;8,00 €;7,20 €;0,80 €;6,40 €;1,60 €;4,00 €;4,00 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 5.000 - 10.000 kW;;;30,00 €;25,50 €;24,00 €;21,60 €;2,40 €;19,20 €;4,80 €;12,00 €;12,00 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 10.000 - 20.000 kW;;;61,00 €;51,85 €;48,80 €;43,92 €;4,88 €;39,04 €;9,76 €;24,40 €;24,40 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 20.000 - 35.000 kW;;;126,00 €;107,10 €;100,80 €;90,72 €;10,08 €;80,64 €;20,16 €;50,40 €;50,40 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 35.000 - 50.000 kW;;;195,00 €;165,75 €;156,00 €;140,40 €;15,60 €;124,80 €;31,20 €;78,00 €;78,00 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 50.000 - 75.000 kW;;;270,00 €;229,50 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 75.000 - 100.000 kW;;;378,00 €;321,30 €;302,40 €;272,16 €;30,24 €;241,92 €;60,48 €;151,20 €;151,20 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 100.000 - 150.000 kW;;;506,00 €;430,10 €;404,80 €;364,32 €;40,48 €;323,84 €;80,96 €;202,40 €;202,40 €
UNIELECTRICA;6.1TD;FIJA ECO;Cons. 150.000 - 200.000 kW;;;709,00 €;602,65 €;567,20 €;510,48 €;56,72 €;453,76 €;113,44 €;283,60 €;283,60 €
