comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii;Columna1
WEKIWI;2.0TD;COBRE;Cons. 0 -  5.000 kW;;;45,00 €;40,50 €;36,00 €;32,40 €;3,60 €;28,80 €;7,20 €;18,00 €;18,00 €;36,00 €
WEKIWI;2.0TD;COBRE;Cons. 5.000 - 10.000 kW;;;60,00 €;54,00 €;48,00 €;43,20 €;4,80 €;38,40 €;9,60 €;24,00 €;24,00 €;48,00 €
WEKIWI;2.0TD;COBRE;Cons. 10.000 - 20.000 kW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €;72,00 €
WEKIWI;2.0TD;COBRE;Cons. 20.000 - 40.000 kW;;;160,00 €;144,00 €;128,00 €;115,20 €;12,80 €;102,40 €;25,60 €;64,00 €;64,00 €;128,00 €
WEKIWI;2.0TD;COBRE;Cons. 40.000 - 75.000 kW;;;250,00 €;225,00 €;200,00 €;180,00 €;20,00 €;160,00 €;40,00 €;100,00 €;100,00 €;200,00 €
WEKIWI;2.0TD;COBRE;Cons. 75.000 - 100.000 kW;;;500,00 €;450,00 €;400,00 €;360,00 €;40,00 €;320,00 €;80,00 €;200,00 €;200,00 €;400,00 €
WEKIWI;2.0TD;ORO;Cons. 0 -  5.000 kW;;;70,00 €;63,00 €;56,00 €;50,40 €;5,60 €;44,80 €;11,20 €;28,00 €;28,00 €;56,00 €
WEKIWI;2.0TD;ORO;Cons. 5.000 - 10.000 kW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €;72,00 €
WEKIWI;2.0TD;ORO;Cons. 10.000 - 20.000 kW;;;140,00 €;126,00 €;112,00 €;100,80 €;11,20 €;89,60 €;22,40 €;56,00 €;56,00 €;112,00 €
WEKIWI;2.0TD;ORO;Cons. 20.000 - 40.000 kW;;;250,00 €;225,00 €;200,00 €;180,00 €;20,00 €;160,00 €;40,00 €;100,00 €;100,00 €;200,00 €
WEKIWI;2.0TD;ORO;Cons. 40.000 - 75.000 kW;;;400,00 €;360,00 €;320,00 €;288,00 €;32,00 €;256,00 €;64,00 €;160,00 €;160,00 €;320,00 €
WEKIWI;2.0TD;ORO;Cons. 75.000 - 100.000 kW;;;580,00 €;522,00 €;464,00 €;417,60 €;46,40 €;371,20 €;92,80 €;232,00 €;232,00 €;464,00 €
WEKIWI;2.0TD;PLATINO;Cons. 0 -  5.000 kW;;;100,00 €;90,00 €;80,00 €;72,00 €;8,00 €;64,00 €;16,00 €;40,00 €;40,00 €;80,00 €
WEKIWI;2.0TD;PLATINO;Cons. 5.000 - 10.000 kW;;;120,00 €;108,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €;96,00 €
WEKIWI;2.0TD;PLATINO;Cons. 10.000 - 20.000 kW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €;144,00 €
WEKIWI;2.0TD;PLATINO;Cons. 20.000 - 40.000 kW;;;300,00 €;270,00 €;240,00 €;216,00 €;24,00 €;192,00 €;48,00 €;120,00 €;120,00 €;240,00 €
WEKIWI;2.0TD;PLATINO;Cons. 40.000 - 75.000 kW;;;500,00 €;450,00 €;400,00 €;360,00 €;40,00 €;320,00 €;80,00 €;200,00 €;200,00 €;400,00 €
WEKIWI;2.0TD;PLATINO;Cons. 75.000 - 100.000 kW;;;700,00 €;630,00 €;560,00 €;504,00 €;56,00 €;448,00 €;112,00 €;280,00 €;280,00 €;560,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 0 -  5.000 kW;;;100,00 €;90,00 €;80,00 €;72,00 €;8,00 €;64,00 €;16,00 €;40,00 €;40,00 €;80,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 5.000 - 10.000 kW;;;120,00 €;108,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €;96,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 10.000 - 20.000 kW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €;144,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 20.000 - 40.000 kW;;;300,00 €;270,00 €;240,00 €;216,00 €;24,00 €;192,00 €;48,00 €;120,00 €;120,00 €;240,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 40.000 - 75.000 kW;;;500,00 €;450,00 €;400,00 €;360,00 €;40,00 €;320,00 €;80,00 €;200,00 €;200,00 €;400,00 €
WEKIWI;2.0TD;FLEX BRONCE (INDEXADO);Cons. 75.000 - 100.000 kW;;;700,00 €;630,00 €;560,00 €;504,00 €;56,00 €;448,00 €;112,00 €;280,00 €;280,00 €;560,00 €
WEKIWI;3.0TD;FIJO;;;((CONSUMO/1000)*FEE*0,6);;85%;80%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%;0,00 €
WEKIWI;3.0TD;FLEX (INDEXADO);;;((CONSUMO/1000)*FEE*0,7);;85%;80%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%;0,00 €
WEKIWI;3.0TD;ALICANTE;;;((CONSUMO/1000)*10);;85%;80%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%;0,00 €
WEKIWI;6.1TD;FIJO;;;((CONSUMO/1000)*FEE*0,6);;85%;80%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%;0,00 €
WEKIWI;6.1TD;FLEX (INDEXADO);;;((CONSUMO/1000)*FEE*0,7);;85%;80%;72,00%;8,00%;64,00%;16,00%;40,00%;40,00%;0,00 €
WEKIWI;RL.1;FIJO GAS (WEKIWI CALM);Cons. 0 - 1.500 kW;;;50,00 €;45,00 €;40,00 €;36,00 €;4,00 €;32,00 €;8,00 €;20,00 €;20,00 €;40,00 €
WEKIWI;RL.1;FIJO GAS (WEKIWI CALM);Cons. 1.500 - 3.000 kW;;;70,00 €;63,00 €;56,00 €;50,40 €;5,60 €;44,80 €;11,20 €;28,00 €;28,00 €;56,00 €
WEKIWI;RL.1;FIJO GAS (WEKIWI CALM);Cons. 3.000 - 5.000 kW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €;72,00 €
WEKIWI;RL.2;FIJO GAS (WEKIWI CALM);Cons. 5.000 - 7.500 kW;;;120,00 €;108,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €;96,00 €
WEKIWI;RL.2;FIJO GAS (WEKIWI CALM);Cons. 7.500 - 10.000 kW;;;150,00 €;135,00 €;120,00 €;108,00 €;12,00 €;96,00 €;24,00 €;60,00 €;60,00 €;120,00 €
WEKIWI;RL.2;FIJO GAS (WEKIWI CALM);Cons. 10.000 - 12.500 kW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €;144,00 €
WEKIWI;RL.2;FIJO GAS (WEKIWI CALM);Cons. 12.500 - 15.000 kW;;;200,00 €;180,00 €;160,00 €;144,00 €;16,00 €;128,00 €;32,00 €;80,00 €;80,00 €;160,00 €
WEKIWI;RL.3;FIJO GAS (WEKIWI CALM);Cons. 15.000 - 25.000 kW;;;240,00 €;216,00 €;192,00 €;172,80 €;19,20 €;153,60 €;38,40 €;96,00 €;96,00 €;192,00 €
WEKIWI;RL.3;FIJO GAS (WEKIWI CALM);Cons. 25.000 - 35.000 kW;;;320,00 €;288,00 €;256,00 €;230,40 €;25,60 €;204,80 €;51,20 €;128,00 €;128,00 €;256,00 €
WEKIWI;RL.3;FIJO GAS (WEKIWI CALM);Cons. 35.000 - 50.000 kW;;;400,00 €;360,00 €;320,00 €;288,00 €;32,00 €;256,00 €;64,00 €;160,00 €;160,00 €;320,00 €
WEKIWI;RL.1;INDEXADO GAS (WEKIWI HEAT);Cons. 0 - 1.500 kW;;;50,00 €;45,00 €;40,00 €;36,00 €;4,00 €;32,00 €;8,00 €;20,00 €;20,00 €;40,00 €
WEKIWI;RL.1;INDEXADO GAS (WEKIWI HEAT);Cons. 1.500 - 3.000 kW;;;70,00 €;63,00 €;56,00 €;50,40 €;5,60 €;44,80 €;11,20 €;28,00 €;28,00 €;56,00 €
WEKIWI;RL.1;INDEXADO GAS (WEKIWI HEAT);Cons. 3.000 - 5.000 kW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €;72,00 €
WEKIWI;RL.2;INDEXADO GAS (WEKIWI HEAT);Cons. 5.000 - 7.500 kW;;;120,00 €;108,00 €;96,00 €;86,40 €;9,60 €;76,80 €;19,20 €;48,00 €;48,00 €;96,00 €
WEKIWI;RL.2;INDEXADO GAS (WEKIWI HEAT);Cons. 7.500 - 10.000 kW;;;150,00 €;135,00 €;120,00 €;108,00 €;12,00 €;96,00 €;24,00 €;60,00 €;60,00 €;120,00 €
WEKIWI;RL.2;INDEXADO GAS (WEKIWI HEAT);Cons. 10.000 - 12.500 kW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €;144,00 €
WEKIWI;RL.2;INDEXADO GAS (WEKIWI HEAT);Cons. 12.500 - 15.000 kW;;;200,00 €;180,00 €;160,00 €;144,00 €;16,00 €;128,00 €;32,00 €;80,00 €;80,00 €;160,00 €
